production_id,production_date,product_type,production_line,shift,operator_id,machine_id,material_batch,quantity_produced,quantity_defective,defect_type,defect_rate,inspection_result,defect_cost,day_of_week,month,week_number
117,2024-02-13,Product_D,Line_3,Afternoon,OP005,M007,BATCH030,211,15,Crack,7.11,Fail,7500,Tuesday,February,7
118,2024-02-13,Product_D,Line_1,Night,OP004,M006,BATCH043,174,7,Scratch,4.02,Pass,3500,Tuesday,February,7
119,2024-02-13,Product_B,Line_3,Night,OP009,M008,BATCH035,186,8,Scratch,4.3,Pass,4000,Tuesday,February,7
120,2024-02-14,Product_D,Line_2,Afternoon,OP016,M007,BATCH039,281,11,Surface_Finish,3.91,Pass,5500,Wednesday,February,7
121,2024-02-14,Product_C,Line_3,Night,OP002,M006,BATCH011,204,13,Surface_Finish,6.37,Fail,6500,Wednesday,February,7
122,2024-02-14,Product_B,Line_1,Night,OP010,M008,BATCH033,109,5,Surface_Finish,4.59,Pass,2500,Wednesday,February,7
123,2024-02-15,Product_D,Line_2,Afternoon,OP002,M004,BATCH028,289,6,Surface_Finish,2.08,Pass,3000,Thursday,February,7
124,2024-02-16,Product_A,Line_2,Afternoon,OP003,M006,BATCH028,220,2,Crack,0.91,Pass,1000,Friday,February,7
125,2024-02-16,Product_A,Line_2,Night,OP001,M002,BATCH044,170,5,Dimension_Error,2.94,Pass,2500,Friday,February,7
126,2024-02-16,Product_D,Line_3,Afternoon,OP012,M004,BATCH008,133,7,Dimension_Error,5.26,Fail,3500,Friday,February,7
127,2024-02-16,Product_C,Line_1,Afternoon,OP006,M005,BATCH035,258,4,Dimension_Error,1.55,Pass,2000,Friday,February,7
128,2024-02-16,Product_C,Line_3,Afternoon,OP012,M006,BATCH008,117,4,Dimension_Error,3.42,Pass,2000,Friday,February,7
129,2024-02-17,Product_A,Line_3,Night,OP013,M007,BATCH018,244,8,Scratch,3.28,Pass,4000,Saturday,February,7
130,2024-02-17,Product_C,Line_2,Afternoon,OP013,M001,BATCH025,278,6,Dent,2.16,Pass,3000,Saturday,February,7
131,2024-02-18,Product_A,Line_2,Afternoon,OP009,M008,BATCH016,298,10,Scratch,3.36,Pass,5000,Sunday,February,7
132,2024-02-18,Product_D,Line_3,Night,OP015,M009,BATCH015,291,19,Crack,6.53,Fail,9500,Sunday,February,7
133,2024-02-18,Product_D,Line_1,Afternoon,OP013,M005,BATCH023,186,6,Scratch,3.23,Pass,3000,Sunday,February,7
134,2024-02-18,Product_C,Line_1,Night,OP016,M001,BATCH032,295,11,Crack,3.73,Pass,5500,Sunday,February,7
135,2024-02-18,Product_B,Line_3,Afternoon,OP015,M003,BATCH026,285,5,Scratch,1.75,Pass,2500,Sunday,February,7
136,2024-02-18,Product_D,Line_1,Night,OP016,M006,BATCH023,125,4,Crack,3.2,Pass,2000,Sunday,February,7
137,2024-02-18,Product_A,Line_2,Afternoon,OP012,M003,BATCH003,145,2,Scratch,1.38,Pass,1000,Sunday,February,7
138,2024-02-19,Product_D,Line_3,Afternoon,OP018,M001,BATCH031,116,4,Crack,3.45,Pass,2000,Monday,February,8
139,2024-02-19,Product_A,Line_1,Afternoon,OP019,M008,BATCH003,273,10,Scratch,3.66,Pass,5000,Monday,February,8
140,2024-02-19,Product_C,Line_1,Morning,OP020,M006,BATCH014,184,8,Dimension_Error,4.35,Pass,4000,Monday,February,8
141,2024-02-19,Product_A,Line_1,Afternoon,OP012,M007,BATCH050,269,7,Dent,2.6,Pass,3500,Monday,February,8
142,2024-02-19,Product_B,Line_2,Afternoon,OP002,M006,BATCH048,196,8,Dimension_Error,4.08,Pass,4000,Monday,February,8
143,2024-02-19,Product_D,Line_1,Afternoon,OP019,M005,BATCH029,270,11,Surface_Finish,4.07,Pass,5500,Monday,February,8
144,2024-02-19,Product_B,Line_3,Night,OP019,M003,BATCH046,155,9,Scratch,5.81,Fail,4500,Monday,February,8
145,2024-02-20,Product_D,Line_2,Night,OP008,M002,BATCH018,191,11,Surface_Finish,5.76,Fail,5500,Tuesday,February,8
146,2024-02-20,Product_C,Line_3,Night,OP004,M001,BATCH043,253,13,Dent,5.14,Fail,6500,Tuesday,February,8
147,2024-02-20,Product_D,Line_1,Night,OP018,M009,BATCH040,111,8,Scratch,7.21,Fail,4000,Tuesday,February,8
148,2024-02-20,Product_C,Line_1,Night,OP013,M001,BATCH039,167,9,Surface_Finish,5.39,Fail,4500,Tuesday,February,8
149,2024-02-20,Product_B,Line_2,Morning,OP020,M009,BATCH022,153,5,Scratch,3.27,Pass,2500,Tuesday,February,8
150,2024-02-20,Product_D,Line_3,Morning,OP015,M008,BATCH014,175,8,Crack,4.57,Pass,4000,Tuesday,February,8
151,2024-02-20,Product_A,Line_2,Afternoon,OP014,M006,BATCH019,125,1,Surface_Finish,0.8,Pass,500,Tuesday,February,8
152,2024-02-21,Product_A,Line_2,Night,OP006,M007,BATCH003,199,9,Dimension_Error,4.52,Pass,4500,Wednesday,February,8
153,2024-02-21,Product_B,Line_2,Afternoon,OP001,M001,BATCH017,231,5,Crack,2.16,Pass,2500,Wednesday,February,8
154,2024-02-21,Product_B,Line_3,Afternoon,OP010,M004,BATCH033,121,2,Dimension_Error,1.65,Pass,1000,Wednesday,February,8
155,2024-02-22,Product_A,Line_2,Afternoon,OP012,M007,BATCH038,161,6,Dent,3.73,Pass,3000,Thursday,February,8
156,2024-02-22,Product_B,Line_3,Night,OP019,M007,BATCH022,249,13,Dent,5.22,Fail,6500,Thursday,February,8
157,2024-02-22,Product_A,Line_3,Morning,OP014,M004,BATCH023,282,7,Crack,2.48,Pass,3500,Thursday,February,8
158,2024-02-23,Product_D,Line_1,Afternoon,OP013,M007,BATCH046,226,4,Scratch,1.77,Pass,2000,Friday,February,8
159,2024-02-23,Product_D,Line_1,Night,OP015,M009,BATCH016,114,4,Dent,3.51,Pass,2000,Friday,February,8
160,2024-02-23,Product_B,Line_1,Morning,OP012,M001,BATCH005,224,3,Crack,1.34,Pass,1500,Friday,February,8
161,2024-02-23,Product_C,Line_1,Morning,OP020,M005,BATCH019,157,2,Surface_Finish,1.27,Pass,1000,Friday,February,8
162,2024-02-24,Product_A,Line_2,Morning,OP005,M009,BATCH022,138,2,Dimension_Error,1.45,Pass,1000,Saturday,February,8
163,2024-02-24,Product_A,Line_3,Night,OP015,M003,BATCH036,181,5,Dent,2.76,Pass,2500,Saturday,February,8
164,2024-02-25,Product_B,Line_3,Afternoon,OP012,M005,BATCH012,173,8,Crack,4.62,Pass,4000,Sunday,February,8
165,2024-02-25,Product_D,Line_3,Night,OP012,M004,BATCH010,229,12,Dimension_Error,5.24,Fail,6000,Sunday,February,8
166,2024-02-25,Product_C,Line_2,Night,OP008,M008,BATCH003,251,9,Dent,3.59,Pass,4500,Sunday,February,8
167,2024-02-25,Product_B,Line_3,Afternoon,OP008,M004,BATCH029,122,2,Scratch,1.64,Pass,1000,Sunday,February,8
168,2024-02-25,Product_B,Line_3,Morning,OP002,M001,BATCH011,264,9,Dent,3.41,Pass,4500,Sunday,February,8
169,2024-02-26,Product_D,Line_2,Afternoon,OP001,M003,BATCH042,127,4,Surface_Finish,3.15,Pass,2000,Monday,February,9
170,2024-02-26,Product_D,Line_3,Afternoon,OP012,M008,BATCH019,214,7,Crack,3.27,Pass,3500,Monday,February,9
171,2024-02-27,Product_C,Line_2,Afternoon,OP018,M004,BATCH029,205,3,Dent,1.46,Pass,1500,Tuesday,February,9
172,2024-02-28,Product_B,Line_2,Morning,OP016,M004,BATCH035,170,2,Dent,1.18,Pass,1000,Wednesday,February,9
173,2024-02-28,Product_C,Line_3,Night,OP003,M006,BATCH020,153,9,Crack,5.88,Fail,4500,Wednesday,February,9
174,2024-02-28,Product_C,Line_3,Afternoon,OP011,M002,BATCH049,149,6,Dimension_Error,4.03,Pass,3000,Wednesday,February,9
175,2024-02-29,Product_D,Line_2,Afternoon,OP003,M003,BATCH009,170,6,Scratch,3.53,Pass,3000,Thursday,February,9
176,2024-03-01,Product_D,Line_2,Afternoon,OP009,M005,BATCH018,209,5,Dent,2.39,Pass,2500,Friday,March,9
177,2024-03-01,Product_B,Line_2,Night,OP001,M001,BATCH050,112,4,Scratch,3.57,Pass,2000,Friday,March,9
178,2024-03-02,Product_D,Line_3,Afternoon,OP007,M008,BATCH028,165,10,Crack,6.06,Fail,5000,Saturday,March,9
179,2024-03-02,Product_D,Line_3,Morning,OP006,M003,BATCH037,162,7,Scratch,4.32,Pass,3500,Saturday,March,9
180,2024-03-02,Product_C,Line_2,Morning,OP008,M002,BATCH005,137,4,Dent,2.92,Pass,2000,Saturday,March,9
181,2024-03-02,Product_B,Line_3,Night,OP003,M001,BATCH017,211,6,Crack,2.84,Pass,3000,Saturday,March,9
182,2024-03-02,Product_C,Line_1,Afternoon,OP015,M005,BATCH002,120,2,Crack,1.67,Pass,1000,Saturday,March,9
183,2024-03-03,Product_B,Line_1,Afternoon,OP012,M008,BATCH020,126,3,Scratch,2.38,Pass,1500,Sunday,March,9
184,2024-03-03,Product_C,Line_1,Morning,OP019,M007,BATCH006,291,4,Dimension_Error,1.37,Pass,2000,Sunday,March,9
185,2024-03-04,Product_A,Line_2,Morning,OP012,M006,BATCH002,149,4,Crack,2.68,Pass,2000,Monday,March,10
186,2024-03-04,Product_A,Line_3,Night,OP019,M001,BATCH048,172,10,Dimension_Error,5.81,Fail,5000,Monday,March,10
187,2024-03-04,Product_C,Line_1,Afternoon,OP014,M002,BATCH030,105,2,Dimension_Error,1.9,Pass,1000,Monday,March,10
188,2024-03-04,Product_C,Line_3,Night,OP017,M008,BATCH035,116,12,Surface_Finish,10.34,Fail,6000,Monday,March,10
189,2024-03-05,Product_D,Line_2,Afternoon,OP012,M003,BATCH010,170,2,Scratch,1.18,Pass,1000,Tuesday,March,10
190,2024-03-05,Product_C,Line_1,Night,OP015,M002,BATCH003,114,3,Surface_Finish,2.63,Pass,1500,Tuesday,March,10
191,2024-03-05,Product_D,Line_1,Night,OP004,M006,BATCH003,233,8,Surface_Finish,3.43,Pass,4000,Tuesday,March,10
192,2024-03-05,Product_B,Line_1,Night,OP018,M003,BATCH010,156,3,Dent,1.92,Pass,1500,Tuesday,March,10
193,2024-03-06,Product_A,Line_3,Afternoon,OP011,M006,BATCH015,229,10,Scratch,4.37,Pass,5000,Wednesday,March,10
194,2024-03-06,Product_A,Line_2,Afternoon,OP008,M005,BATCH006,162,4,Crack,2.47,Pass,2000,Wednesday,March,10
195,2024-03-06,Product_C,Line_1,Afternoon,OP002,M009,BATCH008,286,11,Scratch,3.85,Pass,5500,Wednesday,March,10
196,2024-03-07,Product_A,Line_3,Night,OP009,M005,BATCH041,139,9,Dent,6.47,Fail,4500,Thursday,March,10
197,2024-03-08,Product_D,Line_2,Afternoon,OP010,M009,BATCH048,108,2,Surface_Finish,1.85,Pass,1000,Friday,March,10
198,2024-03-09,Product_B,Line_2,Afternoon,OP011,M009,BATCH020,298,11,Dimension_Error,3.69,Pass,5500,Saturday,March,10
199,2024-03-09,Product_D,Line_1,Afternoon,OP013,M006,BATCH046,265,7,Scratch,2.64,Pass,3500,Saturday,March,10
200,2024-03-09,Product_D,Line_1,Afternoon,OP012,M002,BATCH014,284,7,Crack,2.46,Pass,3500,Saturday,March,10
201,2024-03-09,Product_A,Line_1,Morning,OP003,M005,BATCH006,113,1,Surface_Finish,0.88,Pass,500,Saturday,March,10
202,2024-03-10,Product_B,Line_1,Morning,OP001,M003,BATCH036,134,3,Scratch,2.24,Pass,1500,Sunday,March,10
203,2024-03-10,Product_A,Line_1,Night,OP015,M003,BATCH046,122,4,Dent,3.28,Pass,2000,Sunday,March,10
204,2024-03-11,Product_C,Line_3,Night,OP017,M008,BATCH010,147,6,Scratch,4.08,Pass,3000,Monday,March,11
205,2024-03-11,Product_A,Line_2,Afternoon,OP009,M001,BATCH005,141,3,Crack,2.13,Pass,1500,Monday,March,11
206,2024-03-12,Product_D,Line_1,Morning,OP020,M003,BATCH036,245,4,Dimension_Error,1.63,Pass,2000,Tuesday,March,11
207,2024-03-12,Product_C,Line_2,Afternoon,OP017,M009,BATCH018,181,2,Scratch,1.1,Pass,1000,Tuesday,March,11
208,2024-03-12,Product_D,Line_3,Morning,OP010,M009,BATCH004,193,13,Scratch,6.74,Fail,6500,Tuesday,March,11
